customer_id,age,monthly_fee,months_active,support_tickets,city,plan,contacted_support,churn
1,58,110.88,15,,Stockholm,basic,ja,0
2,32,333.57,46,3,Uppsala,premium,ja,0
3,66,94.62,10,0,Malmö,basic,ja,0
4,56,207.52,35,0,Uppsala,plus,ja,0
5,73,178.29,3,3,Göteborg,plus,nej,0
6,42,171.78,11,1,Malmö,plus,ja,0
7,22,336.74,16,0,Uppsala,premium,nej,0
8,32,337.46,4,0,Stockholm,premium,nej,1
9,54,340.34,26,3,Uppsala,premium,ja,1
10,34,321.38,26,1,Göteborg,premium,ja,0
11,25,80.49,28,2,Stockholm,basic,nej,0
12,53,95.86,57,2,Malmö,basic,nej,0
13,64,347.51,12,2,Stockholm,premium,nej,1
14,,73.74,34,0,Malmö,basic,nej,0
15,71,199.74,37,0,Stockholm,plus,nej,0
16,26,79.48,11,1,Uppsala,basic,ja,0
17,63,180.97,24,1,Uppsala,,ja,0
18,53,97.47,46,,Stockholm,basic,ja,1
19,50,95.92,35,0,Uppsala,basic,ja,1
20,24,334.71,30,5,Stockholm,premium,ja,0
21,24,105.67,9,1,Göteborg,basic,nej,1
22,69,366.8,35,5,Stockholm,premium,ja,0
23,49,202.43,4,0,Uppsala,plus,ja,1
24,47,165.65,51,2,Uppsala,plus,ja,1
25,65,361.07,4,2,Uppsala,premium,ja,0
26,22,376.16,26,0,Göteborg,premium,ja,0
27,51,208.3,46,1,Göteborg,plus,nej,0
28,38,119.86,37,0,Stockholm,basic,ja,0
29,22,93.0,54,2,Malmö,basic,ja,1
30,24,96.14,48,2,Göteborg,basic,nej,1
31,61,359.72,17,5,Stockholm,premium,ja,0
32,39,91.39,48,1,Uppsala,basic,ja,0
33,,363.03,36,0,Uppsala,premium,ja,0
34,73,107.29,16,3,Stockholm,basic,nej,0
35,,368.52,56,0,Göteborg,premium,nej,0
36,44,366.98,18,0,Stockholm,premium,nej,0
37,70,182.71,56,0,Göteborg,plus,ja,1
38,22,188.37,44,5,Malmö,plus,ja,1
39,34,111.44,47,5,Malmö,basic,nej,1
40,54,98.3,1,2,Göteborg,basic,nej,1
41,57,194.99,58,1,Malmö,plus,nej,0
42,30,191.54,48,,Malmö,plus,nej,0
43,45,338.63,29,1,Göteborg,premium,nej,0
44,60,94.33,40,1,Stockholm,basic,ja,1
45,19,99.55,55,5,Stockholm,basic,nej,1
46,62,187.79,42,3,Stockholm,plus,ja,0
47,62,330.32,59,5,Stockholm,premium,nej,0
48,53,338.67,29,2,Uppsala,premium,nej,1
49,34,105.47,50,2,Uppsala,basic,ja,0
50,35,191.07,9,0,Göteborg,plus,nej,1
51,44,184.0,14,5,Uppsala,plus,nej,0
52,72,347.81,23,1,Uppsala,premium,nej,0
53,75,87.06,32,0,Uppsala,basic,nej,0
54,71,235.88,35,0,Uppsala,plus,ja,0
55,29,98.15,30,1,Malmö,basic,nej,1
56,71,74.49,4,1,Göteborg,basic,ja,1
57,33,110.12,16,0,Uppsala,basic,ja,0
58,67,209.13,48,3,Stockholm,,ja,1
59,37,332.34,26,3,Göteborg,premium,ja,0
60,62,210.97,8,5,Stockholm,plus,nej,0
61,59,214.61,32,0,Uppsala,plus,nej,0
62,45,95.04,18,2,Uppsala,basic,nej,0
63,72,102.1,57,1,Göteborg,basic,nej,0
64,49,203.3,52,1,Malmö,plus,nej,0
65,18,355.01,47,1,Uppsala,premium,ja,0
66,68,107.85,45,0,Malmö,basic,nej,0
67,65,337.64,18,1,Malmö,premium,ja,0
68,52,353.15,31,1,Malmö,premium,ja,0
69,37,96.97,3,0,Malmö,basic,ja,0
70,18,345.33,22,0,Stockholm,premium,nej,0
71,43,217.89,4,0,Göteborg,plus,nej,0
72,44,331.86,50,2,Uppsala,premium,nej,0
73,45,194.2,48,0,Göteborg,plus,ja,0
74,,107.52,45,2,Uppsala,basic,nej,1
